country_a,country_b,profile_r_a,profile_r_b,within_r_a,within_r_b,profile_gap,within_gap,severity
DE,LV,0.8300726310692906,0.7597205566273624,0.0075398289640195,0.0330297925239352,0.07035207444192826,-0.0254899635599157,0.001793271813889228
CH,UA,0.9051582931790576,0.7500397363579364,0.0142840839509112,0.024902889710967,0.1551185568211212,-0.010618805760055802,0.0016471738246636649
CY,DE,0.7870157211406633,0.8300726310692906,0.0444938149589886,0.0075398289640195,-0.04305690992862732,0.0369539859949691,0.00159112444648914
CY,NL,0.7870157211406633,0.873628791112841,0.0444938149589886,0.0265766906080034,-0.08661306997217766,0.017917124350985202,0.0015518571451120895
NO,PT,0.8906927910475326,0.8007374572286252,0.0177433721476182,0.0348567735362287,0.08995533381890741,-0.0171134013886105,0.0015394417346894114
CY,FI,0.7870157211406633,0.910711852834848,0.0444938149589886,0.0321216874233562,-0.1236961316941847,0.012372127535632403,0.0015303843169848345
SI,UA,0.8574021817056523,0.7500397363579364,0.0112352493302409,0.024902889710967,0.10736244534771588,-0.013667640380726102,0.001467391293407941
BG,UA,0.6854503192912444,0.7500397363579364,0.0468655160241971,0.024902889710967,-0.06458941706669197,0.021962626313230097,0.0014185532308251222
NO,SK,0.8906927910475326,0.8265866004521504,0.0177433721476182,0.0398486889084511,0.06410619059538225,-0.0221053167608329,0.0014170876494412517
CH,HU,0.9051582931790576,0.7798983692020902,0.0142840839509112,0.0255763780342704,0.1252599239769674,-0.0112922940833592,0.001414471898407132
DE,UA,0.8300726310692906,0.7500397363579364,0.0075398289640195,0.024902889710967,0.08003289471135422,-0.017363060746947503,0.001389616012627297
BG,PT,0.6854503192912444,0.8007374572286252,0.0468655160241971,0.0348567735362287,-0.11528713793738077,0.012008742487968398,0.0013844535516648977
CY,SE,0.7870157211406633,0.8585370051014429,0.0444938149589886,0.0254155745113755,-0.07152128396077961,0.019078240447613103,0.001364500252525768
ES,LV,0.8290401786416228,0.7597205566273624,0.0134509102990582,0.0330297925239352,0.06931962201426045,-0.019578882224877005,0.0013572007152901967
CY,PL,0.7870157211406633,0.8374900952904407,0.0444938149589886,0.0176441899044248,-0.0504743741497774,0.026849625054563803,0.0013552180207852909
PT,SI,0.8007374572286252,0.8574021817056523,0.0348567735362287,0.0112352493302409,-0.056664724477027084,0.0236215242059878,0.0013385071608597247
IE,LV,0.8935144552479544,0.7597205566273624,0.0231370742572151,0.0330297925239352,0.133793898620592,-0.009892718266720103,0.001323585344859628
ME,UA,0.8451443676693915,0.7500397363579364,0.0109959217807353,0.024902889710967,0.09510463131145508,-0.013906967930231702,0.0013226170576649155
CY,ES,0.7870157211406633,0.8290401786416228,0.0444938149589886,0.0134509102990582,-0.04202445750095951,0.031042904659930405,0.0013045612275875832
HU,IL,0.7798983692020902,0.7548493557251168,0.0255763780342704,0.0773792754789644,0.025049013476973414,-0.05180289744469399,0.0012976114762384115
EE,NO,0.843115145117026,0.8906927910475326,0.0448385177503157,0.0177433721476182,-0.04757764593050662,0.0270951456026975,0.001289123243920665
AT,LV,0.8823730677705127,0.7597205566273624,0.0226218363036761,0.0330297925239352,0.12265251114315034,-0.010407956220259102,0.0012765619662827505
CH,LT,0.9051582931790576,0.8626392872316171,0.0142840839509112,0.0439121074466539,0.042519005947440514,-0.0296280234957427,0.001259754107226391
LV,PL,0.7597205566273624,0.8374900952904407,0.0330297925239352,0.0176441899044248,-0.07776953866307834,0.015385602619510403,0.0011965312177727738
BE,CY,0.8508384950701526,0.7870157211406633,0.0262566106310072,0.0444938149589886,0.06382277392948932,-0.018237204327981402,0.0011639489689306611
IE,SK,0.8935144552479544,0.8265866004521504,0.0231370742572151,0.0398486889084511,0.06692785479580399,-0.016711614651236,0.0011184725187813535
HU,SI,0.7798983692020902,0.8574021817056523,0.0255763780342704,0.0112352493302409,-0.07750381250356209,0.0143411287040295,0.0011114921501665547
CH,IS,0.9051582931790576,0.8544743279425585,0.0142840839509112,0.0359305908028919,0.050683965236499096,-0.021646506851980697,0.0010971308007774292
