block,margin,variable,reverse,dz
household,remove,impcntr,True,-0.034419
household,remove,imsmetn,True,0.045816
household,remove,imueclt,False,0.116245
household,remove,imwbcnt,False,0.059235
household,remove,inprdsc,False,-0.215538
household,remove,polintr,True,-0.166203
household,remove,pplfair,False,-0.181339
household,remove,pplhlp,False,-0.075694
household,remove,ppltrst,False,-0.053578
household,remove,psppipla,False,0.091654
household,remove,psppsgva,False,0.137725
household,remove,rlgatnd,True,0.200619
household,remove,sclmeet,False,0.23797
household,remove,stfdem,False,-0.018888
household,remove,stfeco,False,-0.025839
household,remove,stfedu,False,0.027906
household,remove,stfgov,False,-0.041474
household,remove,stfhlth,False,-0.025164
household,remove,stflife,False,-0.043562
household,remove,trstep,False,-0.055115
household,remove,trstlgl,False,-0.055672
household,remove,trstplc,False,-0.006293
household,remove,trstplt,False,0.071684
household,remove,trstprl,False,0.089588
household,remove,trstprt,False,-0.011213
household,remove,trstun,False,-0.086941
household,remove,vote,True,-0.164459
"migration, citizenship",add,actrolga,False,0.086424
"migration, citizenship",add,aesfdrk,True,0.039581
"migration, citizenship",add,atchctr,False,0.057996
"migration, citizenship",add,atcherp,False,0.073625
"migration, citizenship",add,cptppola,False,-0.032845
"migration, citizenship",add,euftf,False,-0.120173
"migration, citizenship",add,freehms,True,0.0825
"migration, citizenship",add,gincdif,True,0.169531
"migration, citizenship",add,happy,False,0.182171
"migration, citizenship",add,health,True,-0.065293
"migration, citizenship",add,hincfel,True,0.36464
"migration, citizenship",add,hmsacld,True,-0.13079
"migration, citizenship",add,hmsfmlsh,True,-0.192464
"migration, citizenship",add,imbgeco,False,-0.076915
"migration, citizenship",add,imdfetn,True,0.525603
"migration, citizenship",add,impcntr,True,0.210341
"migration, citizenship",add,imsmetn,True,-0.055926
"migration, citizenship",add,imueclt,False,0.050713
"migration, citizenship",add,imwbcnt,False,0.046731
"migration, citizenship",add,inprdsc,False,0.0688
"migration, citizenship",add,polintr,True,0.070434
"migration, citizenship",add,pplfair,False,0.150578
"migration, citizenship",add,pplhlp,False,0.135714
"migration, citizenship",add,ppltrst,False,0.056731
"migration, citizenship",add,psppipla,False,-0.227559
"migration, citizenship",add,psppsgva,False,0.047981
"migration, citizenship",add,rlgatnd,True,-0.061209
"migration, citizenship",add,sclmeet,False,0.005871
"migration, citizenship",add,stfdem,False,0.034621
"migration, citizenship",add,stfeco,False,-6.4e-05
"migration, citizenship",add,stfedu,False,0.043638
"migration, citizenship",add,stfgov,False,-0.0417
"migration, citizenship",add,stfhlth,False,0.025164
"migration, citizenship",add,stflife,False,0.072777
"migration, citizenship",add,trstep,False,0.141427
"migration, citizenship",add,trstlgl,False,-0.045723
"migration, citizenship",add,trstplc,False,0.049288
"migration, citizenship",add,trstplt,False,0.14763
"migration, citizenship",add,trstprl,False,0.091339
"migration, citizenship",add,trstprt,False,0.045056
"migration, citizenship",add,trstun,False,-0.090146
"migration, citizenship",add,vote,True,0.195412
"migration, citizenship",remove,actrolga,False,-0.173231
"migration, citizenship",remove,aesfdrk,True,-0.049956
"migration, citizenship",remove,atchctr,False,0.156679
"migration, citizenship",remove,atcherp,False,0.092332
"migration, citizenship",remove,cptppola,False,0.00962
"migration, citizenship",remove,euftf,False,0.061377
"migration, citizenship",remove,freehms,True,-0.063867
"migration, citizenship",remove,gincdif,True,0.012747
"migration, citizenship",remove,happy,False,-0.011504
"migration, citizenship",remove,health,True,0.059407
"migration, citizenship",remove,hincfel,True,-0.077776
"migration, citizenship",remove,hmsacld,True,-0.09025
"migration, citizenship",remove,hmsfmlsh,True,0.089612
"migration, citizenship",remove,imbgeco,False,0.066204
"migration, citizenship",remove,imdfetn,True,-0.083671
"migration, citizenship",remove,impcntr,True,-0.04415
"migration, citizenship",remove,imsmetn,True,-0.13814
"migration, citizenship",remove,imueclt,False,0.047265
"migration, citizenship",remove,imwbcnt,False,0.065085
"migration, citizenship",remove,inprdsc,False,-0.062531
"migration, citizenship",remove,polintr,True,-0.076896
"migration, citizenship",remove,pplfair,False,-0.108818
"migration, citizenship",remove,pplhlp,False,-0.211376
"migration, citizenship",remove,ppltrst,False,0.123531
"migration, citizenship",remove,psppipla,False,0.142492
"migration, citizenship",remove,psppsgva,False,0.065042
"migration, citizenship",remove,rlgatnd,True,0.126603
"migration, citizenship",remove,sclmeet,False,-0.024305
"migration, citizenship",remove,stfdem,False,-0.012411
"migration, citizenship",remove,stfeco,False,-0.014084
"migration, citizenship",remove,stfedu,False,0.043929
"migration, citizenship",remove,stfgov,False,0.006208
"migration, citizenship",remove,stfhlth,False,0.016893
"migration, citizenship",remove,stflife,False,-0.044202
"migration, citizenship",remove,trstep,False,-0.002903
"migration, citizenship",remove,trstlgl,False,-0.111763
"migration, citizenship",remove,trstplc,False,-0.043666
"migration, citizenship",remove,trstplt,False,0.028053
"migration, citizenship",remove,trstprl,False,-0.015463
"migration, citizenship",remove,trstprt,False,-0.008677
"migration, citizenship",remove,trstun,False,-0.04236
"migration, citizenship",remove,vote,True,-0.135309
minority status,add,actrolga,False,0.115119
minority status,add,aesfdrk,True,0.307371
minority status,add,atchctr,False,0.066451
minority status,add,atcherp,False,0.062709
minority status,add,cptppola,False,0.106029
minority status,add,euftf,False,-0.007354
minority status,add,freehms,True,-0.192573
minority status,add,gincdif,True,-0.291969
minority status,add,happy,False,-0.343683
minority status,add,health,True,-0.006442
minority status,add,hincfel,True,0.250755
minority status,add,hmsacld,True,0.027584
minority status,add,hmsfmlsh,True,-0.316964
minority status,add,imbgeco,False,0.207714
minority status,add,imdfetn,True,0.379451
minority status,add,impcntr,True,0.338216
minority status,add,imsmetn,True,0.122429
minority status,add,imueclt,False,0.006023
minority status,add,imwbcnt,False,-0.269528
minority status,add,inprdsc,False,0.635954
minority status,add,polintr,True,-0.274787
minority status,add,pplfair,False,-0.568903
minority status,add,pplhlp,False,-0.698722
minority status,add,ppltrst,False,-0.400505
minority status,add,psppipla,False,-0.175568
minority status,add,psppsgva,False,-0.095765
minority status,add,rlgatnd,True,0.126788
minority status,add,sclmeet,False,-0.279201
minority status,add,stfdem,False,-0.098254
minority status,add,stfeco,False,0.03695
minority status,add,stfedu,False,0.080252
minority status,add,stfgov,False,0.02201
minority status,add,stfhlth,False,-0.034634
minority status,add,stflife,False,-0.244771
minority status,add,trstep,False,-0.079891
minority status,add,trstlgl,False,-0.064572
minority status,add,trstplc,False,-0.158686
minority status,add,trstplt,False,0.082753
minority status,add,trstprl,False,-0.104968
